date,male,female,total
2020-01-20,0,1,1
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,1,0,1
2020-01-25,0,0,0
2020-01-26,1,0,1
2020-01-27,1,0,1
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,3,0,3
2020-01-31,1,3,4
2020-02-01,1,0,1
2020-02-02,2,1,3
2020-02-03,0,0,0
2020-02-04,0,1,1
2020-02-05,2,3,5
2020-02-06,2,1,3
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,1,2,3
2020-02-10,0,1,1
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,1,1,2
2020-02-17,0,0,0
2020-02-18,0,2,2
2020-02-19,13,21,34
2020-02-20,5,11,16
2020-02-21,34,40,74
2020-02-22,95,95,190
2020-02-23,69,141,210
2020-02-24,69,138,207
2020-02-25,43,87,130
2020-02-26,94,159,253
2020-02-27,176,273,449
2020-02-28,156,271,427
2020-02-29,324,585,909
2020-03-01,236,359,595
2020-03-02,262,424,686
2020-03-03,219,381,600
2020-03-04,186,330,516
2020-03-05,153,285,438
2020-03-06,197,321,518
2020-03-07,176,307,483
2020-03-08,172,195,367
2020-03-09,103,145,248
2020-03-10,53,78,131
2020-03-11,95,147,242
2020-03-12,47,67,114
2020-03-13,50,60,110
2020-03-14,57,50,107
2020-03-15,35,41,76
2020-03-16,33,41,74
2020-03-17,31,53,84
2020-03-18,40,53,93
2020-03-19,57,95,152
2020-03-20,33,54,87
2020-03-21,57,90,147
2020-03-22,43,55,98
2020-03-23,27,37,64
2020-03-24,40,36,76
2020-03-25,53,47,100
2020-03-26,48,56,104
2020-03-27,40,51,91
2020-03-28,98,48,146
2020-03-29,63,42,105
2020-03-30,35,43,78
2020-03-31,71,54,125
2020-04-01,41,60,101
2020-04-02,34,55,89
2020-04-03,34,52,86
2020-04-04,39,55,94
2020-04-05,46,35,81
2020-04-06,21,26,47
2020-04-07,18,29,47
2020-04-08,25,28,53
2020-04-09,22,17,39
2020-04-10,15,12,27
2020-04-11,15,15,30
2020-04-12,14,18,32
2020-04-13,14,11,25
2020-04-14,13,14,27
2020-04-15,10,17,27
2020-04-16,6,16,22
2020-04-17,14,8,22
2020-04-18,7,11,18
2020-04-19,4,4,8
2020-04-20,5,8,13
2020-04-21,6,3,9
2020-04-22,6,5,11
2020-04-23,4,4,8
2020-04-24,5,1,6
2020-04-25,4,6,10
2020-04-26,6,4,10
2020-04-27,4,6,10
2020-04-28,7,7,14
2020-04-29,4,5,9
2020-04-30,4,0,4
2020-05-01,4,5,9
2020-05-02,6,0,6
2020-05-03,7,6,13
2020-05-04,6,2,8
2020-05-05,2,1,3
2020-05-06,2,0,2
2020-05-07,3,1,4
2020-05-08,7,5,12
2020-05-09,17,1,18
2020-05-10,24,10,34
2020-05-11,31,4,35
2020-05-12,20,7,27
2020-05-13,18,8,26
2020-05-14,17,12,29
2020-05-15,17,10,27
2020-05-16,11,8,19
2020-05-17,5,8,13
2020-05-18,11,4,15
2020-05-19,10,3,13
2020-05-20,23,9,32
2020-05-21,9,3,12
2020-05-22,15,5,20
2020-05-23,12,11,23
2020-05-24,15,10,25
2020-05-25,8,8,16
2020-05-26,13,6,19
2020-05-27,16,24,40
2020-05-28,48,31,79
2020-05-29,31,27,58
2020-05-30,21,18,39
2020-05-31,15,12,27
2020-06-01,12,23,35
2020-06-02,23,15,38
2020-06-03,23,26,49
2020-06-04,19,20,39
2020-06-05,21,18,39
2020-06-06,27,24,51
2020-06-07,30,27,57
2020-06-08,12,25,37
2020-06-09,18,20,38
2020-06-10,22,28,50
2020-06-11,28,17,45
2020-06-12,31,25,56
2020-06-13,19,29,48
2020-06-14,16,18,34
2020-06-15,20,17,37
2020-06-16,22,12,34
2020-06-17,18,25,43
2020-06-18,25,34,59
2020-06-19,25,24,49
2020-06-20,39,28,67
2020-06-21,25,23,48
2020-06-22,9,8,17
2020-06-23,35,11,46
2020-06-24,31,20,51
2020-06-25,16,12,28
2020-06-26,23,16,39
2020-06-27,28,23,51
2020-06-28,38,24,62
2020-06-29,20,22,42
2020-06-30,25,17,42
2020-07-01,29,22,51
2020-07-02,31,23,54
2020-07-03,31,30,61
2020-07-04,38,25,63
2020-07-05,31,30,61
2020-07-06,26,22,48
2020-07-07,22,22,44
2020-07-08,35,27,62
2020-07-09,28,22,50
2020-07-10,36,9,45
2020-07-11,22,13,35
2020-07-12,32,12,44
2020-07-13,39,23,62
2020-07-14,16,17,33
2020-07-15,33,6,39
2020-07-16,47,14,61
2020-07-17,35,25,60
2020-07-18,23,16,39
2020-07-19,21,13,34
2020-07-20,19,7,26
2020-07-21,25,20,45
2020-07-22,39,24,63
2020-07-23,38,21,59
2020-07-24,23,18,41
2020-07-25,97,16,113
2020-07-26,49,9,58
2020-07-27,13,12,25
2020-07-28,22,6,28
2020-07-29,32,16,48
2020-07-30,13,5,18
2020-07-31,24,12,36
2020-08-01,23,8,31
2020-08-02,21,9,30
2020-08-03,15,8,23
2020-08-04,23,11,34
2020-08-05,23,10,33
2020-08-06,34,9,43
2020-08-07,12,8,20
2020-08-08,23,20,43
2020-08-09,17,19,36
2020-08-10,14,14,28
2020-08-11,20,14,34
2020-08-12,34,20,54
2020-08-13,31,25,56
2020-08-14,51,52,103
2020-08-15,70,96,166
2020-08-16,102,177,279
2020-08-17,75,122,197
2020-08-18,90,156,246
2020-08-19,108,189,297
2020-08-20,134,154,288
2020-08-21,148,176,324
2020-08-22,145,187,332
2020-08-23,157,239,396
2020-08-24,118,148,266
2020-08-25,137,143,280
2020-08-26,145,175,320
2020-08-27,207,234,441
2020-08-28,175,196,371
2020-08-29,141,182,323
2020-08-30,154,145,299
2020-08-31,114,134,248
2020-09-01,114,121,235
2020-09-02,133,134,267
2020-09-03,87,108,195
2020-09-04,94,104,198
2020-09-05,82,86,168
2020-09-06,79,88,167
2020-09-07,66,53,119
2020-09-08,73,63,136
2020-09-09,76,80,156
2020-09-10,76,79,155
2020-09-11,77,99,176
2020-09-12,81,55,136
2020-09-13,63,58,121
2020-09-14,51,58,109
2020-09-15,48,58,106
2020-09-16,67,46,113
2020-09-17,74,79,153
2020-09-18,57,69,126
2020-09-19,45,65,110
2020-09-20,48,34,82
2020-09-21,36,34,70
2020-09-22,37,24,61
2020-09-23,59,51,110
2020-09-24,65,60,125
2020-09-25,54,60,114
2020-09-26,25,36,61
2020-09-27,42,53,95
2020-09-28,26,24,50
2020-09-29,27,11,38
2020-09-30,77,36,113
2020-10-01,42,35,77
2020-10-02,38,25,63
2020-10-03,47,28,75
2020-10-04,40,24,64
2020-10-05,47,26,73
2020-10-06,49,26,75
2020-10-07,53,61,114
2020-10-08,39,30,69
2020-10-09,28,26,54
2020-10-10,40,32,72
2020-10-11,34,24,58
2020-10-12,56,42,98
2020-10-13,53,38,91
2020-10-14,51,33,84
2020-10-15,32,78,110
2020-10-16,21,26,47
2020-10-17,26,47,73
2020-10-18,48,43,91
2020-10-19,36,40,76
2020-10-20,38,20,58
2020-10-21,47,42,89
2020-10-22,60,61,121
2020-10-23,73,82,155
2020-10-24,41,36,77
2020-10-25,26,35,61
2020-10-26,51,68,119
2020-10-27,41,47,88
2020-10-28,46,57,103
2020-10-29,68,57,125
2020-10-30,54,59,113
2020-10-31,63,64,127
2020-11-01,60,64,124
2020-11-02,48,49,97
2020-11-03,43,32,75
2020-11-04,60,57,117
2020-11-05,63,62,125
2020-11-06,74,71,145
2020-11-07,50,39,89
2020-11-08,76,67,143
2020-11-09,57,69,126
2020-11-10,56,44,100
2020-11-11,67,78,145
2020-11-12,77,66,143
2020-11-13,91,100,191
2020-11-14,105,100,205
2020-11-15,100,108,208
2020-11-16,117,105,222
2020-11-17,118,112,230
2020-11-18,158,127,285
2020-11-19,164,161,325
2020-11-20,177,171,348
2020-11-21,210,176,386
2020-11-22,173,157,330
2020-11-23,128,143,271
2020-11-24,190,159,349
2020-11-25,206,176,382
2020-11-26,294,287,581
2020-11-27,299,256,555
2020-11-28,262,241,503
2020-11-29,233,217,450
2020-11-30,213,225,438
2020-12-01,233,218,451
2020-12-02,262,249,511
2020-12-03,273,267,540
2020-12-04,287,341,628
2020-12-05,282,295,577
2020-12-06,339,292,631
2020-12-07,296,319,615
2020-12-08,271,316,587
2020-12-09,335,335,670
2020-12-10,351,329,680
2020-12-11,336,353,689
2020-12-12,436,514,950
2020-12-13,483,547,1030
2020-12-14,331,387,718
2020-12-15,415,465,880
2020-12-16,556,522,1078
2020-12-17,473,541,1014
2020-12-18,483,581,1064
2020-12-19,470,575,1045
2020-12-20,626,470,1096
2020-12-21,459,465,924
2020-12-22,421,445,866
2020-12-23,528,562,1090
2020-12-24,485,500,985
2020-12-25,771,469,1240
2020-12-26,565,566,1131
2020-12-27,472,498,970
2020-12-28,395,411,806
2020-12-29,618,426,1044
2020-12-30,522,528,1050
2020-12-31,505,462,967
2021-01-01,555,472,1027
2021-01-02,418,402,820
2021-01-03,301,356,657
2021-01-04,536,484,1020
2021-01-05,355,359,714
2021-01-06,407,431,838
2021-01-07,458,411,869
2021-01-08,319,355,674
2021-01-09,323,318,641
2021-01-10,337,320,657
2021-01-11,239,212,451
2021-01-12,267,270,537
2021-01-13,276,285,561
2021-01-14,272,252,524
