name,code,rank,industry
삼성전자,005930,1,반도체와반도체장비
LG에너지솔루션,373220,2,전기제품
SK하이닉스,000660,3,반도체와반도체장비
삼성바이오로직스,207940,4,제약
LG화학,051910,5,화학
삼성SDI,006400,6,전기제품
현대차,005380,7,자동차
기아,000270,8,자동차
NAVER,035420,9,양방향미디어와서비스
POSCO홀딩스,005490,10,철강
포스코퓨처엠,003670,11,화학
셀트리온,068270,12,제약
카카오,035720,13,양방향미디어와서비스
현대모비스,012330,14,자동차부품
삼성물산,028260,15,복합기업
LG전자,066570,16,전자제품
KB금융,105560,17,은행
신한지주,055550,18,은행
SK이노베이션,096770,19,석유와가스
LG,003550,20,복합기업
삼성생명,032830,21,생명보험
카카오뱅크,323410,22,은행
한국전력,015760,23,전기유틸리티
SK,034730,24,복합기업
하나금융지주,086790,25,은행
KT&G,033780,26,담배
하이브,352820,27,방송과엔터테인먼트
삼성전기,009150,28,전자장비와기기
삼성화재,000810,29,손해보험
SK텔레콤,017670,30,무선통신서비스
두산에너빌리티,034020,31,기계
HD현대중공업,329180,32,조선
메리츠금융지주,138040,33,증권
삼성에스디에스,018260,34,IT서비스
고려아연,010130,35,비철금속
크래프톤,259960,36,게임엔터테인먼트
우리금융지주,316140,37,은행
HMM,011200,38,해운사
LG생활건강,051900,39,화장품
S-Oil,010950,40,석유와가스
기업은행,024110,41,은행
한화솔루션,009830,42,화학
대한항공,003490,43,항공사
KT,030200,44,다각화된통신서비스
카카오페이,377300,45,IT서비스
LG이노텍,011070,46,전자장비와기기
롯데케미칼,011170,47,화학
엔씨소프트,036570,48,게임엔터테인먼트
HD한국조선해양,009540,49,조선
SK아이이테크놀로지,361610,50,전기제품
현대글로비스,086280,51,항공화물운송과물류
SK스퀘어,402340,52,반도체와반도체장비
SK바이오사이언스,302440,53,제약
아모레퍼시픽,090430,54,화장품
SK바이오팜,326030,55,제약
LG디스플레이,034220,56,디스플레이패널
두산밥캣,241560,57,기계
한화에어로스페이스,012450,58,우주항공과국방
삼성엔지니어링,028050,59,건설
DB손해보험,005830,60,손해보험
포스코인터내셔널,047050,61,무역회사와판매업체
삼성중공업,010140,62,조선
한국항공우주,047810,63,우주항공과국방
F&F,383220,64,"섬유,의류,신발,호화품"
한온시스템,018880,65,자동차부품
오리온,271560,66,식품
LG유플러스,032640,67,무선통신서비스
CJ제일제당,097950,68,식품
넷마블,251270,69,게임엔터테인먼트
유한양행,000100,70,제약
HD현대,267250,71,석유와가스
미래에셋증권,006800,72,증권
현대제철,004020,73,철강
한국타이어앤테크놀로지,161390,74,자동차부품
현대건설,000720,75,건설
강원랜드,035250,76,"호텔,레스토랑,레저"
SKC,011790,77,화학
한미약품,128940,78,제약
