name,code,rank,industry,sort
삼성전자,5930,1,반도체와반도체장비,삼성
LG에너지솔루션,373220,2,전기제품,LG
SK하이닉스,660,3,반도체와반도체장비,SK
삼성바이오로직스,207940,4,제약,삼성
LG화학,51910,5,화학,LG
삼성SDI,6400,6,전기제품,삼성
현대차,5380,7,자동차,현대자동차
기아,270,8,자동차,현대자동차
NAVER,35420,9,양방향미디어와서비스,네이버
POSCO홀딩스,5490,10,철강,포스코
포스코퓨처엠,3670,11,화학,포스코
셀트리온,68270,12,제약,셀트리온
카카오,35720,13,양방향미디어와서비스,카카오
현대모비스,12330,14,자동차부품,현대자동차
삼성물산,28260,15,복합기업,삼성
LG전자,66570,16,전자제품,LG
KB금융,105560,17,은행,
신한지주,55550,18,은행,신한금융지주회사
SK이노베이션,96770,19,석유와가스,SK
LG,3550,20,복합기업,LG
삼성생명,32830,21,생명보험,삼성
카카오뱅크,323410,22,은행,카카오
한국전력,15760,23,전기유틸리티,한국전력공사
SK,34730,24,복합기업,SK
하나금융지주,86790,25,은행,
KT&G,33780,26,담배,케이티앤지
하이브,352820,27,방송과엔터테인먼트,
삼성전기,9150,28,전자장비와기기,삼성
삼성화재,810,29,손해보험,삼성
SK텔레콤,17670,30,무선통신서비스,SK
두산에너빌리티,34020,31,기계,두산
HD현대중공업,329180,32,조선,HD현대
메리츠금융지주,138040,33,증권,메리츠금융
삼성에스디에스,18260,34,IT서비스,삼성
고려아연,10130,35,비철금속,영풍
크래프톤,259960,36,게임엔터테인먼트,크래프톤
우리금융지주,316140,37,은행,우리금융
HMM,11200,38,해운사,에이치엠엠
LG생활건강,51900,39,화장품,LG
S-Oil,10950,40,석유와가스,S-Oil
기업은행,24110,41,은행,
한화솔루션,9830,42,화학,한화
대한항공,3490,43,항공사,한진
KT,30200,44,다각화된통신서비스,케이티
카카오페이,377300,45,IT서비스,카카오
LG이노텍,11070,46,전자장비와기기,LG
롯데케미칼,11170,47,화학,롯데
엔씨소프트,36570,48,게임엔터테인먼트,
HD한국조선해양,9540,49,조선,HD현대
SK아이이테크놀로지,361610,50,전기제품,SK
현대글로비스,86280,51,항공화물운송과물류,현대자동차
SK스퀘어,402340,52,반도체와반도체장비,SK
SK바이오사이언스,302440,53,제약,SK
아모레퍼시픽,90430,54,화장품,아모레퍼시픽
SK바이오팜,326030,55,제약,SK
LG디스플레이,34220,56,디스플레이패널,LG
두산밥캣,241560,57,기계,두산
한화에어로스페이스,12450,58,우주항공과국방,한화
삼성엔지니어링,28050,59,건설,삼성
DB손해보험,5830,60,손해보험,DB
포스코인터내셔널,47050,61,무역회사와판매업체,포스코
삼성중공업,10140,62,조선,삼성
한국항공우주,47810,63,우주항공과국방,한국항공우주산업
F&F,383220,64,"섬유,의류,신발,호화품",에프앤에프
한온시스템,18880,65,자동차부품,
오리온,271560,66,식품,오리온홀딩스
LG유플러스,32640,67,무선통신서비스,LG
CJ제일제당,97950,68,식품,CJ
넷마블,251270,69,게임엔터테인먼트,넷마블
유한양행,100,70,제약,
HD현대,267250,71,석유와가스,HD현대
미래에셋증권,6800,72,증권,미래에셋
현대제철,4020,73,철강,현대자동차
한국타이어앤테크놀로지,161390,74,자동차부품,한국타이어
현대건설,720,75,건설,현대자동차
강원랜드,35250,76,"호텔,레스토랑,레저",
SKC,11790,77,화학,SK
한미약품,128940,78,제약,한미약품
금호석유,11780,79,화학,금호석유화학
GS,78930,80,석유와가스,GS
코웨이,21240,81,가정용기기와용품,넷마블
삼성카드,29780,82,카드,삼성
현대로템,64350,83,기계,현대자동차
씨에스윈드,112610,84,에너지장비및서비스,씨에스윈드
삼성증권,16360,85,증권,삼성
NH투자증권,5940,86,증권,농협
BGF리테일,282330,87,백화점과일반상점,BGF
한진칼,180640,88,항공사,한진
한국금융지주,71050,89,증권,
현대미포조선,10620,90,조선,HD현대
호텔신라,8770,91,"호텔,레스토랑,레저",삼성
롯데지주,4990,92,식품,롯데
현대해상,1450,93,손해보험,
대우조선해양,42660,94,조선,대우조선해양
쌍용C&E,3410,95,건축자재,
DB하이텍,990,96,반도체와반도체장비,DB
농심,4370,97,식품,농심
한화시스템,272210,98,우주항공과국방,한화
롯데에너지머티리얼즈,20150,99,전자장비와기기,롯데
한솔케미칼,14680,100,화학,한솔
LS,6260,101,전기장비,LS
GS리테일,7070,102,백화점과일반상점,GS
한전기술,52690,103,전기유틸리티,한국전력공사
한미사이언스,8930,104,제약,한미약품
CJ,1040,105,복합기업,CJ
팬오션,28670,106,해운사,하림
키움증권,39490,107,증권,다우키움
한국가스공사,36460,108,가스유틸리티,
아모레G,2790,109,화장품,아모레퍼시픽
이마트,139480,110,백화점과일반상점,신세계
한화,880,111,생명보험,한화
롯데쇼핑,23530,112,백화점과일반상점,롯데
한화생명,88350,113,생명보험,한화
HL만도,204320,114,자동차부품,HL
휠라홀딩스,81660,115,"섬유,의류,신발,호화품",
BNK금융지주,138930,116,은행,
동원산업,6040,117,식품,동원
제일기획,30000,118,광고,삼성
영원무역,111770,119,"섬유,의류,신발,호화품",영원무역홀딩스
에스원,12750,120,상업서비스와공급품,삼성
두산퓨얼셀,336260,121,전기제품,두산
동서,26960,122,식품,
효성첨단소재,298050,123,화학,효성
HD현대인프라코어,42670,124,기계,HD현대
LS ELECTRIC,10120,125,전기장비,LS
신세계,4170,126,백화점과일반상점,신세계
KCC,2380,127,건축자재,케이씨씨
CJ대한통운,120,128,항공화물운송과물류,CJ
오뚜기,7310,129,식품,오뚜기
대한전선,1440,130,전기장비,호반건설
GS건설,6360,131,건설,GS
대우건설,47040,132,건설,중흥건설
LIG넥스원,79550,133,우주항공과국방,LIG
에스디바이오센서,137310,134,건강관리장비와용품,에스디
JB금융지주,175330,135,은행,
효성티앤씨,298020,136,"섬유,의류,신발,호화품",효성
에스엘,5850,137,자동차부품,
현대위아,11210,138,자동차부품,현대자동차
두산,150,139,복합기업,두산
하이트진로,80,140,음료,하이트진로
현대엘리베이,17800,141,기계,현대
한전KPS,51600,142,전기유틸리티,한국전력공사
롯데정밀화학,4000,143,화학,롯데
녹십자,6280,144,제약,녹십자
DL이앤씨,375500,145,건설,DL
효성,4800,146,복합기업,효성
OCI홀딩스,10060,147,화학,OCI
금호타이어,73240,148,자동차부품,
롯데칠성,5300,149,음료,롯데
대웅제약,69620,150,제약,대웅
후성,93370,151,화학,후성
