code,sort
005930,삼성
373220,LG
000660,SK
207940,삼성
051910,LG
006400,삼성
005380,현대자동차
000270,현대자동차
035420,네이버
005490,포스코
003670,포스코
068270,셀트리온
035720,카카오
012330,현대자동차
028260,삼성
066570,LG
105560,
055550,신한금융지주회사
096770,SK
003550,LG
032830,삼성
323410,카카오
015760,한국전력공사
034730,SK
086790,
033780,케이티앤지
352820,
009150,삼성
000810,삼성
017670,SK
034020,두산
329180,HD현대
138040,메리츠금융
018260,삼성
010130,영풍
259960,크래프톤
316140,우리금융
011200,에이치엠엠
051900,LG
010950,S-Oil
024110,
009830,한화
003490,한진
030200,케이티
377300,카카오
011070,LG
011170,롯데
036570,
009540,HD현대
361610,SK
086280,현대자동차
402340,SK
302440,SK
090430,아모레퍼시픽
326030,SK
034220,LG
241560,두산
012450,한화
028050,삼성
005830,DB
047050,포스코
010140,삼성
047810,한국항공우주산업
383220,에프앤에프
018880,
271560,오리온홀딩스
032640,LG
097950,CJ
251270,넷마블
000100,
267250,HD현대
006800,미래에셋
004020,현대자동차
161390,한국타이어
000720,현대자동차
035250,
011790,SK
128940,한미약품
011780,금호석유화학
078930,GS
021240,넷마블
029780,삼성
064350,현대자동차
112610,씨에스윈드
016360,삼성
005940,농협
282330,BGF
180640,한진
071050,
010620,HD현대
008770,삼성
004990,롯데
001450,
042660,대우조선해양
003410,
000990,DB
004370,농심
272210,한화
020150,롯데
014680,한솔
006260,LS
007070,GS
052690,한국전력공사
008930,한미약품
001040,CJ
028670,하림
039490,다우키움
036460,
002790,아모레퍼시픽
139480,신세계
000880,한화
023530,롯데
088350,한화
204320,HL
081660,
138930,
006040,동원
030000,삼성
111770,영원무역홀딩스
012750,삼성
336260,두산
026960,
298050,효성
042670,HD현대
010120,LS
004170,신세계
002380,케이씨씨
000120,CJ
007310,오뚜기
001440,호반건설
006360,GS
047040,중흥건설
079550,LIG
137310,에스디
175330,
298020,효성
005850,
011210,현대자동차
000150,두산
000080,하이트진로
017800,현대
051600,한국전력공사
004000,롯데
006280,녹십자
375500,DL
004800,효성
010060,OCI
073240,
005300,롯데
069620,대웅
093370,후성
285130,SK
009420,대웅
120110,코오롱
139130,
069960,현대백화점
114090,
001120,엘엑스
014820,동원
009900,엠에스오토텍
000240,한국타이어
010780,아이에스지주
103140,풍산
271940,일진
185750,종근당
001740,SK
001230,동국제강
009240,하나투어
280360,롯데
000670,영풍
178920,
000210,DL
192820,코스맥스비티아이
001800,오리온홀딩스
069260,티케이지태광
020560,금호아시아나
019170,
016380,KG
300720,한일홀딩스
161890,한국콜마홀딩스
006650,
003090,대웅
003230,
039130,하나투어
294870,HDC
032350,
192080,더블유게임즈
005250,녹십자
003240,태광
004490,세방
001680,대상
031430,신세계
381970,
105630,한세예스24홀딩스
003850,보령
020000,현대백화점
284740,쿠쿠홀딩스
057050,현대백화점
013890,현대백화점
241590,화승
